"","LOR","LUT","COE","UD","NWU","SC","CEN","WAR","BV"
"Date 1","v WAR (3)","v CEN (3)","v NWU (3)","v BV (3)","@ COE (3)","","@ LUT (3)","@ LOR (3)","@ UD (3)"
"Date 2","v COE (3)","v NWU (3)","@ LOR (3)","@ CEN (3)","@ LUT (3)","@ BV (3)","v UD (3)","","v SC (3)"
"Date 3","v LUT (1)","@ LOR (1)","v SC (1)","","v CEN (1)","@ COE (1)","@ NWU (1)","v BV (2)","@ WAR (2)"
"Date 4","","@ SC (3)","v BV (3)","@ NWU (3)","v UD (3)","v LUT (3)","v WAR (3)","@ CEN (3)","@ COE (3)"
"Date 5","@ LUT (2)","v LOR (2)","@ SC (2)","","@ CEN (2)","v COE (2)","v NWU (2)","@ BV (1)","v WAR (1)"
"Date 6","@ NWU (3)","@ BV (3)","@ UD (3)","v COE (3)","v LOR (3)","@ WAR (3)","","v SC (3)","v LUT (3)"
"Date 7","v UD (1)","v WAR (1)","","@ LOR (1)","@ BV (1)","v CEN (1)","@ SC (1)","@ LUT (1)","v NWU (1)"
"Date 8","v BV (3)","","v CEN (3)","v SC (3)","v WAR (3)","@ UD (3)","@ COE (3)","@ NWU (3)","@ LOR (3)"
"Date 9","@ UD (2)","@ WAR (2)","","v LOR (2)","v BV (2)","@ CEN (2)","v SC (2)","v LUT (2)","@ NWU (2)"
"Date 10","@ SC (3)","@ COE (3)","v LUT (3)","@ WAR (3)","","v LOR (3)","@ BV (3)","v UD (3)","v CEN (3)"
"Date 11","@ CEN (3)","v UD (3)","@ WAR (3)","@ LUT (3)","@ SC (3)","v NWU (3)","v LOR (3)","v COE (3)",""
